STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; eor                                                                                                          
    13667;  2018061416;   2;0;   23.1;   40;eor                                                                                                                                                         
    13667;  2018061417;   2;0;   22.5;   43;eor                                                                                                                                                         
    13667;  2018061418;   2;0;   20.2;   45;eor                                                                                                                                                         
    13667;  2018061419;   2;0;   19.0;   54;eor                                                                                                                                                         
    13667;  2018061420;   2;0;   18.2;   59;eor                                                                                                                                                         
    13667;  2018061421;   2;0;   17.4;   62;eor                                                                                                                                                         
    13667;  2018061422;   2;0;   17.0;   63;eor                                                                                                                                                         
    13667;  2018061423;   2;0;   16.6;   64;eor                                                                                                                                                         
    13667;  2018061500;   2;0;   16.2;   67;eor                                                                                                                                                         
    13667;  2018061501;   2;0;   16.0;   66;eor                                                                                                                                                         
    13667;  2018061502;   2;0;   15.0;   74;eor                                                                                                                                                         
    13667;  2018061503;   2;0;   14.6;   74;eor                                                                                                                                                         
    13667;  2018061504;   2;0;   14.4;   74;eor                                                                                                                                                         
    13667;  2018061505;   2;0;   14.9;   69;eor                                                                                                                                                         
    13667;  2018061506;   2;0;   15.7;   73;eor                                                                                                                                                         
    13667;  2018061507;   2;0;   18.3;   64;eor                                                                                                                                                         
    13667;  2018061508;   2;0;   20.2;   53;eor                                                                                                                                                         
    13667;  2018061509;   2;0;   20.9;   56;eor                                                                                                                                                         
    13667;  2018061510;   2;0;   21.8;   54;eor                                                                                                                                                         
    13667;  2018061511;   2;0;   22.3;   52;eor                                                                                                                                                         
    13667;  2018061512;   2;0;   23.9;   47;eor                                                                                                                                                         
    13667;  2018061513;   2;0;   24.4;   46;eor                                                                                                                                                         
    13667;  2018061514;   2;0;   24.7;   46;eor                                                                                                                                                         
    13667;  2018061515;   2;0;   24.0;   46;eor                                                                                                                                                         
    13667;  2018061516;   2;0;   24.1;   46;eor                                                                                                                                                         
    13667;  2018061517;   2;0;   24.3;   47;eor                                                                                                                                                         
    13667;  2018061518;   2;0;   23.5;   51;eor                                                                                                                                                         
    13667;  2018061519;   2;0;   21.6;   55;eor                                                                                                                                                         
    13667;  2018061520;   2;0;   20.5;   61;eor                                                                                                                                                         
    13667;  2018061521;   2;0;   20.3;   63;eor                                                                                                                                                         
    13667;  2018061522;   2;0;   18.8;   68;eor                                                                                                                                                         
    13667;  2018061523;   2;0;   17.8;   74;eor                                                                                                                                                         
    13667;  2018061600;   2;0;   18.3;   63;eor                                                                                                                                                         
    13667;  2018061601;   2;0;   17.6;   62;eor                                                                                                                                                         
    13667;  2018061602;   2;0;   15.9;   75;eor                                                                                                                                                         
    13667;  2018061603;   2;0;   15.7;   76;eor                                                                                                                                                         
    13667;  2018061604;   2;0;   15.8;   75;eor                                                                                                                                                         
    13667;  2018061605;   2;0;   16.5;   78;eor                                                                                                                                                         
    13667;  2018061606;   2;0;   17.8;   67;eor                                                                                                                                                         
    13667;  2018061607;   2;0;   21.0;   59;eor                                                                                                                                                         
    13667;  2018061608;   2;0;   22.0;   61;eor                                                                                                                                                         
    13667;  2018061609;   2;0;   23.6;   52;eor                                                                                                                                                         
    13667;  2018061610;   2;0;   24.7;   46;eor                                                                                                                                                         
    13667;  2018061611;   2;0;   26.1;   43;eor                                                                                                                                                         
    13667;  2018061612;   2;0;   25.0;   42;eor                                                                                                                                                         
    13667;  2018061613;   2;0;   25.0;   42;eor                                                                                                                                                         
    13667;  2018061614;   2;0;   25.9;   38;eor                                                                                                                                                         
    13667;  2018061615;   2;0;   26.6;   37;eor                                                                                                                                                         
    13667;  2018061616;   2;0;   27.1;   37;eor                                                                                                                                                         
    13667;  2018061617;   2;0;   26.9;   38;eor                                                                                                                                                         
    13667;  2018061618;   2;0;   26.3;   38;eor                                                                                                                                                         
    13667;  2018061619;   2;0;   23.8;   47;eor                                                                                                                                                         
    13667;  2018061620;   2;0;   22.4;   54;eor                                                                                                                                                         
    13667;  2018061621;   2;0;   21.4;   57;eor                                                                                                                                                         
    13667;  2018061622;   2;0;   20.2;   64;eor                                                                                                                                                         
    13667;  2018061623;   2;0;   19.9;   66;eor                                                                                                                                                         
