Tag;Stunde;SUM_GS200;AVG_TA200
10.12.2018;00:00;,00;6,65
10.12.2018;01:00;,00;6,63
10.12.2018;02:00;,00;6,49
10.12.2018;03:00;,00;6,29
10.12.2018;04:00;,00;5,87
10.12.2018;05:00;,00;5,03
10.12.2018;06:00;,00;4,82
10.12.2018;07:00;,00;4,81
10.12.2018;08:00;,00;5,04
10.12.2018;09:00;27,75;5,53
10.12.2018;10:00;30,17;5,69
10.12.2018;11:00;88,35;6,18
10.12.2018;12:00;146,28;6,57
10.12.2018;13:00;323,50;7,69
10.12.2018;14:00;117,63;7,43
10.12.2018;15:00;27,07;6,42
10.12.2018;16:00;12,17;5,81
10.12.2018;17:00;,00;5,65
10.12.2018;18:00;,00;5,89
10.12.2018;19:00;,00;6,20
10.12.2018;20:00;,00;5,88
10.12.2018;21:00;,00;5,99
10.12.2018;22:00;,00;5,67
10.12.2018;23:00;,00;4,13
11.12.2018;00:00;,00;3,71
11.12.2018;01:00;,00;3,49
11.12.2018;02:00;,00;3,14
11.12.2018;03:00;,00;3,18
11.12.2018;04:00;,00;2,93
11.12.2018;05:00;,00;2,35
11.12.2018;06:00;,00;1,90
11.12.2018;07:00;,00;1,28
11.12.2018;08:00;,00;,91
11.12.2018;09:00;46,15;1,14
11.12.2018;10:00;237,53;2,73
11.12.2018;11:00;296,23;4,43
11.12.2018;12:00;328,77;5,10
11.12.2018;13:00;287,83;5,55
11.12.2018;14:00;101,77;5,15
11.12.2018;15:00;127,90;5,65
11.12.2018;16:00;,00;4,66
11.12.2018;17:00;,00;3,55
11.12.2018;18:00;,00;2,83
11.12.2018;19:00;,00;2,71
11.12.2018;20:00;,00;2,34
11.12.2018;21:00;,00;1,28
11.12.2018;22:00;,00;,59
11.12.2018;23:00;,00;,16
12.12.2018;00:00;,00;-,07
12.12.2018;01:00;,00;-,79
12.12.2018;02:00;,00;-,99
12.12.2018;03:00;,00;-1,24
12.12.2018;04:00;,00;-1,60
12.12.2018;05:00;,00;-2,17
12.12.2018;06:00;,00;-2,49
12.12.2018;07:00;,00;-2,69
12.12.2018;08:00;,00;-2,73
12.12.2018;09:00;71,15;-2,04
12.12.2018;10:00;340,97;-,58
12.12.2018;11:00;345,15;1,41
12.12.2018;12:00;308,12;2,29
12.12.2018;13:00;169,38;2,58
